t = 0.04 , x = 1.4, u = 0.0015967
t = 0.04 , x = 1.45, u = 0.00266352
t = 0.04 , x = 1.5, u = 0.00433789
t = 0.04 , x = 1.55, u = 0.00689749
t = 0.04 , x = 1.6, u = 0.0107078
t = 0.04 , x = 1.65, u = 0.0162296
t = 0.04 , x = 1.7, u = 0.0240172
t = 0.04 , x = 1.75, u = 0.0347012
t = 0.04 , x = 1.8, u = 0.0489532
t = 0.04 , x = 1.85, u = 0.0674278
t = 0.04 , x = 1.9, u = 0.0906829
t = 0.04 , x = 1.95, u = 0.119083
t = 0.04 , x = 2, u = 0.152694
t = 0.04 , x = 2.05, u = 0.191185
t = 0.04 , x = 2.1, u = 0.233752
t = 0.04 , x = 2.15, u = 0.27909
t = 0.04 , x = 2.2, u = 0.325409
t = 0.04 , x = 2.25, u = 0.370534
t = 0.04 , x = 2.3, u = 0.412051
t = 0.04 , x = 2.35, u = 0.447518
t = 0.04 , x = 2.4, u = 0.474698
t = 0.04 , x = 2.45, u = 0.491788
t = 0.04 , x = 2.5, u = 0.49762
t = 0.04 , x = 2.55, u = 0.491788
t = 0.04 , x = 2.6, u = 0.474698
t = 0.04 , x = 2.65, u = 0.447518
t = 0.04 , x = 2.7, u = 0.412051
t = 0.04 , x = 2.75, u = 0.370534
t = 0.04 , x = 2.8, u = 0.325409
t = 0.04 , x = 2.85, u = 0.27909
t = 0.04 , x = 2.9, u = 0.233752
t = 0.04 , x = 2.95, u = 0.191185
t = 0.04 , x = 3, u = 0.152694
t = 0.04 , x = 3.05, u = 0.119083
t = 0.04 , x = 3.1, u = 0.0906829
t = 0.04 , x = 3.15, u = 0.0674278
t = 0.04 , x = 3.2, u = 0.0489532
t = 0.04 , x = 3.25, u = 0.0347012
t = 0.04 , x = 3.3, u = 0.0240172
t = 0.04 , x = 3.35, u = 0.0162296
t = 0.04 , x = 3.4, u = 0.0107078
t = 0.04 , x = 3.45, u = 0.00689749
t = 0.04 , x = 3.5, u = 0.00433789
t = 0.04 , x = 3.55, u = 0.00266352
t = 0.04 , x = 3.6, u = 0.0015967
t = 0.04 , x = 3.65, u = 0.000934488
t = 0.04 , x = 3.7, u = 0.000533953
t = 0.04 , x = 3.75, u = 0.000297857
t = 0.04 , x = 3.8, u = 0.000162212
t = 0.04 , x = 3.85, u = 8.62424e-05
t = 0.04 , x = 3.9, u = 4.4763e-05
t = 0.04 , x = 3.95, u = 2.26814e-05
t = 0.04 , x = 4, u = 1.12193e-05
t = 0.04 , x = 4.05, u = 5.41756e-06
t = 0.04 , x = 4.1, u = 2.55372e-06
t = 0.04 , x = 4.15, u = 1.17509e-06
t = 0.04 , x = 4.2, u = 5.27817e-07
t = 0.04 , x = 4.25, u = 2.31423e-07
t = 0.04 , x = 4.3, u = 9.90449e-08
t = 0.04 , x = 4.35, u = 4.13762e-08
t = 0.04 , x = 4.4, u = 1.68715e-08
t = 0.04 , x = 4.45, u = 6.71478e-09
t = 0.04 , x = 4.5, u = 2.60841e-09
t = 0.04 , x = 4.55, u = 9.88958e-10
t = 0.04 , x = 4.6, u = 3.65954e-10
t = 0.04 , x = 4.65, u = 1.32164e-10
t = 0.04 , x = 4.7, u = 4.65826e-11
t = 0.04 , x = 4.75, u = 1.60234e-11
t = 0.04 , x = 4.8, u = 5.37921e-12
t = 0.04 , x = 4.85, u = 1.76339e-12
t = 0.04 , x = 4.9, u = 5.67946e-13
t = 0.04 , x = 4.95, u = 1.91651e-13
t = 0.06 , x = 0, u = 3.75784e-10
t = 0.06 , x = 0.05, u = 5.2073e-10
t = 0.06 , x = 0.1, u = 1.05532e-09
t = 0.06 , x = 0.15, u = 2.33888e-09
t = 0.06 , x = 0.2, u = 5.2013e-09
t = 0.06 , x = 0.25, u = 1.141e-08
t = 0.06 , x = 0.3, u = 2.46143e-08
t = 0.06 , x = 0.35, u = 5.21895e-08
t = 0.06 , x = 0.4, u = 1.08751e-07
t = 0.06 , x = 0.45, u = 2.22706e-07
t = 0.06 , x = 0.5, u = 4.48208e-07
t = 0.06 , x = 0.55, u = 8.86503e-07
t = 0.06 , x = 0.6, u = 1.7232e-06
t = 0.06 , x = 0.65, u = 3.2919e-06
t = 0.06 , x = 0.7, u = 6.1804e-06
t = 0.06 , x = 0.75, u = 1.14038e-05
t = 0.06 , x = 0.8, u = 2.06796e-05
t = 0.06 , x = 0.85, u = 3.68553e-05
t = 0.06 , x = 0.9, u = 6.45542e-05
t = 0.06 , x = 0.95, u = 0.000111126
t = 0.06 , x = 1, u = 0.000188008
t = 0.06 , x = 1.05, u = 0.000312613
t = 0.06 , x = 1.1, u = 0.000510869
t = 0.06 , x = 1.15, u = 0.000820509
t = 0.06 , x = 1.2, u = 0.00129518
t = 0.06 , x = 1.25, u = 0.00200933
t = 0.06 , x = 1.3, u = 0.00306369
t = 0.06 , x = 1.35, u = 0.00459106
t = 0.06 , x = 1.4, u = 0.00676172
t = 0.06 , x = 1.45, u = 0.00978762
t = 0.06 , x = 1.5, u = 0.0139243
t = 0.06 , x = 1.55, u = 0.0194692
t = 0.06 , x = 1.6, u = 0.0267547
t = 0.06 , x = 1.65, u = 0.0361355
t = 0.06 , x = 1.7, u = 0.0479681
t = 0.06 , x = 1.75, u = 0.0625831
t = 0.06 , x = 1.8, u = 0.0802515
t = 0.06 , x = 1.85, u = 0.101145
t = 0.06 , x = 1.9, u = 0.125297
